date,benchmark,A_selection,B_risk_parity,C_conviction,D_gate,E_execution,gate_on,top4
2023-04-19,-0.039328632997264135,-0.015720004752490163,-0.014922630196749215,-0.014922630196749215,-0.014922630196749215,-0.017922630196749216,True,"510880,512800,512100,510500"
2023-05-22,0.0026261901877868274,-0.03036130003241322,-0.0286185964067363,-0.0286185964067363,0.0,-0.003,False,"515220,515030,159915,512660"
2023-06-19,-0.026766553142175457,-0.02124922474663013,-0.019767380494258358,-0.02021643770950257,-0.02021643770950257,-0.02321643770950257,True,"512100,515050,510300,510500"
2023-07-19,-0.01674210586782239,0.009667632312922947,0.00938860073744465,0.009388600737444651,0.0,-0.003,False,"510050,512800,510300,510880"
2023-08-16,-0.023793403249885697,0.02188882999104763,0.01841323965765032,0.01841323965765032,0.0,-0.003,False,"510880,510050,512800,515220"
2023-09-13,-0.04603004465931174,-0.019797260216579682,-0.020333261300322272,-0.020333261300322272,0.0,-0.003,False,"510880,510050,515220,512800"
2023-10-19,0.027678747698031175,0.019122175730407143,0.014836549501715347,0.014836549501715347,0.0,-0.003,False,"515220,510880,512880,510500"
2023-11-16,-0.046773729101196114,-0.010614858303940294,-0.009113730298755434,-0.009113730298755434,0.0,-0.003,False,"515220,512880,512100,510500"
2023-12-14,-0.04458528445559923,-0.08250182954436974,-0.04881480503481185,-0.04881480503481185,0.0,-0.003,False,"510880,510500,515050,159869"
